epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2913,1.39382,3.46988,1.36725,0.01084,1,0.14739,0.10179,0.54724,3.31793,0.96287,5.001e-05,5.001e-05,5.001e-05
2,13.9701,0.95433,3.24497,1.15683,0.00909,1,0.56127,0.4065,0.8261,2.99463,0.93178,0.00011438,0.00011438,0.00011438
3,26.0865,0.71763,2.85956,1.02757,0.00798,1,0.67244,0.45457,0.84129,2.6817,0.84365,0.000176109,0.000176109,0.000176109
4,37.5081,0.67593,2.16536,0.95206,0.00728,1,0.71334,0.52245,0.88497,2.37895,0.86233,0.000235197,0.000235197,0.000235197
5,41.1901,0.65866,1.69944,0.93933,0.00721,1,0.68062,0.55252,0.75573,2.3657,0.85485,0.000291645,0.000291645,0.000291645
6,44.713,0.71341,1.5467,0.95968,0.0067,1,0.64014,0.53104,0.66743,2.41628,0.84924,0.000345452,0.000345452,0.000345452
7,48.5814,0.66965,1.33309,0.96265,0.00637,1,0.71664,0.57835,0.58629,2.37567,0.85214,0.000396619,0.000396619,0.000396619
8,51.9608,0.70639,1.2961,0.95031,0.47535,1,0.75562,0.59927,0.64756,2.23517,0.90588,0.000445146,0.000445146,0.000445146
9,55.0352,0.66882,1.21327,0.95318,0.52076,0.63636,0.81296,0.67053,0.69908,1.92619,0.9148,0.000491032,0.000491032,0.000491032
10,58.3479,0.65576,1.13133,0.96911,0.61011,0.88263,0.88429,0.72396,0.6905,1.48103,0.8912,0.000534277,0.000534277,0.000534277
11,61.6335,0.65228,1.02282,0.95991,0.9881,0.88994,0.995,0.83857,0.68495,1.02103,0.86125,0.000574882,0.000574882,0.000574882
12,64.7146,0.65059,0.92567,0.94742,0.96566,1,0.995,0.82789,0.73018,0.8031,0.87948,0.000612846,0.000612846,0.000612846
13,67.7127,0.66654,0.89109,0.95107,0.97564,0.99877,0.995,0.78245,0.85335,0.78388,0.90011,0.00064817,0.00064817,0.00064817
14,70.7972,0.65697,0.84639,0.93555,0.97907,0.99941,0.995,0.77572,0.85019,0.78485,0.9021,0.000680853,0.000680853,0.000680853
15,73.9592,0.64984,0.85996,0.93077,1,0.97236,0.995,0.76242,0.78265,0.93332,0.89114,0.000710895,0.000710895,0.000710895
16,76.9019,0.62855,0.79328,0.94352,0.81028,0.88376,0.8897,0.7142,0.67343,1.01432,0.88847,0.000738298,0.000738298,0.000738298
17,79.908,0.62609,0.7782,0.92606,0.84958,0.93262,0.84911,0.71518,0.609,1.0163,0.85805,0.000763059,0.000763059,0.000763059
18,82.9818,0.62873,0.78727,0.94357,0.81459,0.96562,0.97833,0.7821,0.6187,0.96133,0.84497,0.00078518,0.00078518,0.00078518
19,86.08,0.58709,0.75467,0.90371,0.81467,0.99009,0.995,0.84454,0.60806,0.89268,0.85502,0.000804661,0.000804661,0.000804661
20,89.2542,0.59009,0.7095,0.91045,0.95234,0.99954,0.995,0.86619,0.64284,0.6976,0.8997,0.000821501,0.000821501,0.000821501
21,92.379,0.62966,0.7156,0.93274,0.98902,1,0.995,0.84318,0.67555,0.67115,0.91616,0.0008357,0.0008357,0.0008357
22,95.31,0.61384,0.72335,0.9464,0.99041,1,0.995,0.83257,0.689,0.60508,0.88976,0.000847259,0.000847259,0.000847259
23,98.2521,0.60937,0.69043,0.9184,0.99094,1,0.995,0.82644,0.68232,0.59031,0.88005,0.000856178,0.000856178,0.000856178
24,101.256,0.60382,0.67904,0.94536,0.98655,1,0.995,0.83879,0.66322,0.625,0.85864,0.000862456,0.000862456,0.000862456
25,104.513,0.58328,0.70804,0.92908,0.97571,1,0.995,0.85565,0.62823,0.65891,0.84143,0.000866093,0.000866093,0.000866093
26,107.699,0.58033,0.65799,0.92311,0.97167,1,0.995,0.85691,0.62591,0.71617,0.83729,0.000841835,0.000841835,0.000841835
27,111.55,0.57467,0.68267,0.92133,0.97768,1,0.995,0.80131,0.71591,0.73392,0.86465,0.000808828,0.000808828,0.000808828
28,115.03,0.58983,0.66109,0.93573,0.98384,1,0.995,0.80648,0.71652,0.64571,0.88507,0.000775822,0.000775822,0.000775822
29,118.689,0.60946,0.66337,0.93203,0.99294,1,0.995,0.83635,0.66519,0.60053,0.89603,0.000742815,0.000742815,0.000742815
30,121.754,0.56594,0.61991,0.91425,0.96973,1,0.995,0.84451,0.59028,0.603,0.87269,0.000709809,0.000709809,0.000709809
